Descricao,V.Venda
ACELERADOR DE SECAGEM GRANDE (FIDIDINHO),25.0
ADAPTADOR DE FURADEIRA,5.0
ADAPTADOR DE LIXADEIRA LONGO,50.0
AGER TENAX,350.0
APLICADOR DE SILICONE FERRO,17.0
APLICADOR DE SILICONE PVC PRETO,40.0
ARRUELA LISA 1/4,1.0
ARRUELA LISA 5/16,1.0
AVENTAL,38.0
"BOINA 5""",12.0
"BOINA 8""",25.0
BROCA 006,59.0
BROCA 008,59.0
BROCA 010,59.0
BROCA 012,60.0
BROCA 015,70.0
BROCA 020,65.0
BROCA 025,65.0
BROCA 030,65.0
BROCA 032,65.0
BROCA 035,75.0
BROCA 040,120.0
BROCA 050,130.0
BROCA 060,150.0
BROCA 070,170.0
BROCA 080,180.0
BROCA 090,190.0
BROCA 100,210.0
BROCA 110,240.0
BROCA 120,270.0
BROCA 150,300.0
BROCA ELETROLITICA 010,35.0
BROCA ELETROLITICA 025,55.0
BROCA ELETROLITICA 035,65.0
BROCA ELETROLITICA 040,75.0
BROCA ELETROLITICA 050,95.0
BROCA ELETROLITICA 060,145.0
BROCA ELETROLITICA 070,165.0
BROCA ESCAREADORA 32,215.0
BROCA IMPORTADA 010,50.0
BROCA IMPORTADA 020,50.0
BROCA IMPORTADA 025,60.0
BROCA IMPORTADA 030,70.0
BROCA IMPORTADA 032,75.0
BROCA IMPORTADA 035,80.0
BROCA IMPORTADA 040,95.0
BROCA IMPORTADA 050,127.0
BROCA IMPORTADA 060,167.0
BROCA SDS PLUS 06MM,8.0
BROCA SDS PLUS 08MM,13.0
BROCA SDS PLUS 10MM,12.0
BROCA SDS PLUS 12MM,16.0
BROXA RETANGULAR,8.0
BUCHA FISCHER SX10,2.0
BUCHA PARA GESSO FISCHER,5.0
BUCHA PARA GESSO USAF,1.0
BUCHA PARA TIJOLO FURADO,1.0
BUCHA USAF 10 (C/ 50),17.0
CALHA UMIDA 78X18X12,674.0
CAMARA DE AR,75.0
CANTONEIRA 10CM,7.0
CANTONEIRA 20CM,9.0
CANTONEIRA 30CM,12.0
CANTONEIRA 40CM,14.0
CANTONEIRA 50CM,16.0
"CANTONEIRA CHAPA 2"" 10CM",12.0
CARRINHO P/CHAPA CAMARA,519.0
CARRINHO P/CHAPA MACIÇO,558.0
CARVÃO BOSCH 11226,10.0
CARVÃO BOSCH 125 GWS,10.0
CARVÃO BOSCH 1347,10.0
CARVÃO BOSCH 1351,10.0
CARVÃO BOSCH 1548 H43,11.0
CARVÃO BOSCH 1551.1,10.0
CARVÃO DEWALT 301,10.0
CARVÃO DEWALT 5411,9.0
CARVÃO DEWALT 860 L42,10.0
CARVÃO MAKITA 101,10.0
CARVÃO MAKITA 303,9.0
CARVÃO MAKITA CB 325,10.0
CARVÃO MAKITAO 202/204,15.0
CARVÃO SKIL 9002,10.0
CATALISADOR,2.0
CB DE EMBUTIR REDONDA 30,97.0
CER100 CB EMBUTIR REDONDA 26,83.0
CERA CARNAUBA,31.0
CERA PARAFINA,44.0
CERA PERFECTA INCOLOR BELLINZONI,146.0
CERA PERFECTA PRETA BELLINZONI,153.0
CERA ROSA INCOLOR BELLINZONI,167.0
CERA ROSA PRETA BELLINZONI,180.0
CERA TOTAL BLACK BELLINZONI,79.0
COLA ADESIVA INSTANTÂNEA,10.0
COLA EPOXI STRONG EDGE A+B,352.0
COLA INST POWER BOND,28.0
COLA LIQUIDA COMUM JDS 1KG,40.0
COLA LIQUIDA COMUM SHOW,45.0
COLA LIQUIDA CRISTAL JDS 1KG,46.0
COLA LIQUIDA CRISTAL SHOW,50.0
COLOR QUARTZO BELLINZONI 500ML,316.0
CORANTE AMARELO,8.0
CORANTE MARROM,7.0
CORANTE OCRE,7.0
CORANTE PRETO,7.0
CORANTE VERDE,7.0
CORANTE VERMELHO,7.0
CORTA FERRUGEM BELLINZONI,56.0
CUBA DORA TRAMONTINA 50X40X20 ACETINADA 94018/112,784.0
CUBA DUPLA TRAMONTINA INVERTIDA AB,762.0
CUBA GOURMET BR CUBAS AÇO 201 50X40 ESC,212.0
CUBA GOURMET BR CUBAS AÇO 201 62X43 ESC,337.0
CUBA GOURMET BR CUBAS AÇO 304 62X43 ESC,462.0
CUBA GOURMET IMPORTADA PROMOÇÃO,154.0
CUBA GOURMET IMPORTADA AÇO 304 50X40 ESC,231.0
CUBA INDUSTRIAL TECNOCUBA 50X40X20,422.0
CUBA INDUSTRIAL TECNOCUBA 50X40X25,488.0
CUBA INDUSTRIAL TECNOCUBA 50X40X30,709.0
CUBA INDUSTRIAL TECNOCUBA 60X50X40,1587.0
CUBA LINHA RETA DUPLA BR CUBAS 74X44X20,960.0
CUBA LINHA RETA ESCOVADA 70X45X21,597.0
CUBA LINHA RETA QUADRADA BR CUBAS 44X44,558.0
CUBA N0 17 BR CUBAS C/V 4.1/2 AÇO 304 AB,197.0
CUBA N0 17 NEW STEEL 3.1/2 AÇO 430 AB,107.0
CUBA N0 17 NEW STEEL C/V 4.1/2 AÇO 304 ESC,168.0
CUBA N0 17 TECNOCUBA 3.1/2 AÇO 430 AB,115.0
CUBA N0 17 TRAMONTINA 3.1/2 AÇO 304 AB,227.0
CUBA N0 17 TRAMONTINA 4.1/2 AÇO 304 AB,318.0
CUBA N0 17 TRAMONTINA 4.1/2 AÇO 304 ESC,274.0
CUBA N1 17 BR CUBAS C/V 4.1/2 AÇO 304 AB,216.0
CUBA N1 17 NEW STEEL 3.1/2 AÇO 430 AB,102.0
CUBA N1 17 NEW STEEL C/V 4.1/2 AÇO 304 ESC,168.0
CUBA N1 17 TECNOCUBA 3.1/2 AÇO 430 AB,113.0
CUBA N1 17 TRAMONTINA 3.1/2 AÇO 304 AB,270.0
CUBA N1 17 TRAMONTINA 3.1/2 AÇO 304 ESC,302.0
CUBA N1 17 TRAMONTINA 4.1/2 AÇO 304 AB,345.0
CUBA N1 17 TRAMONTINA 4.1/2 AÇO 304 AC,279.0
CUBA N2 17 BR CUBAS C/V 4.1/2 AÇO 304 AB,235.0
CUBA N2 17 NEW STEEL 3.1/2 AÇO 430 AB,135.0
CUBA N2 17 NEW STEEL C/V 4.1/2 AÇO 304 ESC,195.0
CUBA N2 17 TECNOCUBA 3.1/2 AÇO 430 AB,137.0
CUBA N2 17 TRAMONTINA 3.1/2 AÇO 304 AB,299.0
CUBA N2 17 TRAMONTINA 3.1/2 AÇO 304 AC,381.0
CUBA N2 17 TRAMONTINA 4.1/2 AÇO 304 AB,377.0
CUBA N2 17 TRAMONTINA 4.1/2 AÇO 304 AC,358.0
CUBA REDONDA 25CM AÇO 430,111.0
CUBA REDONDA 30CM AÇO 430,112.0
CUBA REDONDA 35CM AÇO 430,146.0
CUBA REDONDA TRAMONTINA PERFECTA 30CM,225.0
CUBA REDONDA TRAMONTINA PERFECTA 35CM,309.0
"DISCO CORTE INOX 4""",3.0
DISCO DE DESBASTE 100MM,54.0
DISCO DE DESBASTE 100MM CURVO VERDE,227.0
DISCO DE DESBASTE 100MM VERDE,188.0
DISCO DE DESBASTE 115MM,59.0
DISCO DE DESBASTE DDA #060,104.0
DISCO DE DESBASTE DDA #080,104.0
DISCO DE DESBASTE DDA #120,104.0
DISCO DE DESBASTE DDA #220,104.0
DISCO DE DESBASTE PARA BOLEADO 2CM,77.0
DISCO MAKITA ELETROLITICO VERDE,20.0
DISCO MAKITA FINO AZUL,22.0
DISCO MAKITA FINO BRANCO,20.0
DISCO MAKITA FINO PRETO,24.0
DISCO MAKITA FINO PRETO REDE,25.0
DISCO MAKITA HOT,25.0
DISCO MAKITA LISO,25.0
DISCO MAKITA OURO,18.0
DISCO MAKITA SAINT AZUL,28.0
DISCO MAKITA SEGMENTADO AMARELO,24.0
DISCO MAKITA SEGMENTADO VERMELHO,19.0
DISCO MAKITA TRITON AZUL,23.0
DISCO MAKITA TURBO BLACK,25.0
DISCO MAKITA TURBO VINHO,13.0
DISCO TURBO MASTER #030,84.0
DISCO TURBO MASTER #050,84.0
DISCO TURBO MASTER #100,84.0
DISCO TURBO MINI 50 X M14,31.0
DISPENSER DOSADOR DE SABÃO 300ML,30.0
DISSOLVE TUDO BELLINZONI,94.0
ESCOVA PARA VELVET #024,78.0
ESCOVA PARA VELVET #036,78.0
ESCOVA PARA VELVET #060,78.0
ESCOVA PARA VELVET #120,88.0
ESCOVA PARA VELVET #220,78.0
ESCOVA PARA VELVET #320,78.0
ESPATULA TRAMONTINA 4CM C.MADEIRA,18.0
ESPATULA TRAMONTINA 4CM C.PLASTICO,15.0
ESPATULA TRAMONTINA 6CM C.MADEIRA,19.0
ESPATULA TRAMONTINA 6CM C.PLASTICO,15.0
"ESQUADRO 12""",31.0
ESQUADRO ALUMINIO,42.0
ESQUADRO GRANDE,48.0
ESQUADRO STANLEY,134.0
ESTILETE LOTUS GRANDE,13.0
ESTILETE STARFER GRANDE,4.0
ESTOPA,15.0
FELTRO 150/20,86.0
FELTRO COM VELCRO 100MM,34.0
FELTRO COM VELCRO 180MM,50.0
FITA CREPE AZUL,28.0
FITA CREPE BRANCA,13.0
FITA ISOLANTE 3M IMPERIAL 10 MTS,8.0
FITA TRANSPARENTE,16.0
FLANGE ROSCA M14,11.0
FRESA 110MM PARA REBAIXO,227.0
GEL INCOLOR JDS,37.0
GEL INCOLOR SHOW,45.0
"GRAMPO 4""",40.0
GRAMPO MULTIUSO STARFER,20.0
GRAPA CHUMBAR 50CM,16.0
GRAPA CHUMBAR 60CM,19.0
GRAPA CHUMBAR 70CM,22.0
GRAPA CHUMBAR 80CM,24.0
GRAPA PARAFUSAR 12CM,8.0
GRAPA PARAFUSAR 30CM,19.0
GRAPA PARAFUSAR 40CM,21.0
GRAPA PARAFUSAR 50CM,23.0
GRAPA PARAFUSAR 55CM,23.0
GRAPA PARAFUSAR 60CM,27.0
GRAPA PARAFUSAR 70CM,31.0
ICA1 CB APOIO REDONDA 38CM,234.0
ICA12 CB APOIO QUADRADA COM MESA 35X35CM,376.0
ICA15 CB APOIO REDONDA 29,206.0
ICA16 CB APOIO REDONDA 30CM,274.0
ICA17 CB APOIO QUADRADA 30,274.0
ICA19 CB APOIO RETANGULAR 50X35,291.0
ICA21 CB APOIO OVAL 47X33,319.0
"ICA23 CB APOIO RETANGULAR COM MESA 49X36,3CM",553.0
ICA24 CB APOIO RETANGULAR 49X37,451.0
ICA25 CB APOIO REDONDA 35,318.0
ICA26 CB APOIO OVAL 52X34CM,441.0
ICA28 CB APOIO QUADRADA 40X40CM,451.0
ICA29 CB APOIO QUADRADA 40X40CM,500.0
ICA6 CB APOIO REDONDA 36CM,270.0
ICA7 CB APOIO QUADRADA 37X37CM,293.0
ICA8 CB APOIO RETANGULAR 41X31,305.0
ICA8 CB APOIO RETANGULAR CINZA,583.0
ICA9 CB APOIO OVAL 40X30,280.0
IL6 CB EMBUTIR OVAL 49X36,110.0
IL62 CB SOBREPOR REDONDA 32,125.0
IL65 CB EMBUTIR OVAL 40X30,104.0
IL66 CB SOBREPOR OVAL 45X33,140.0
IMP. CB APOIO HEXAGONAL 64X42CM,308.0
IMP. CB APOIO ORGANICA 50X40CM,314.0
IMP. CB APOIO OVAL 40X33CM,222.0
IMP. CB APOIO OVAL 56X36CM,314.0
"IMP. CB APOIO QUADRADA 41,5X41,5CM",231.0
IMP. CB APOIO QUADRADA C/MESA 40X40CM,252.0
IMP. CB APOIO QUADRADA C/MESA E RALO OCULTO 41X41CM,252.0
IMP. CB APOIO REDONDA 42CM,173.0
IMP. CB APOIO REDONDA FUNIL 41CM,173.0
"IMP. CB EMBUTIR RETANGULAR 33X27,5CM",126.0
IMP. CB SEMI ENCAIXE 40X40X14,234.0
IMPERMEABILIZANTE AQUARIUM BELLINZONI,93.0
IMPERMEABILIZANTE IDEA GOLD BELLINZONI,336.0
IMPERMEABILIZANTE QG,70.0
IMPERMEABILIZANTE TORO BELLINZONI,144.0
JET VERNIZ TENAX,114.0
KIT LIXA P/ REBAIXO ITALIANO,404.0
L37 CB DE EMBUTIR OVAL 490X365MM DECA,151.0
L375 CB DE EMBUTIR RETANGULAR 480 X 355MM DECA,166.0
L415 CB DE EMBUTIR QUADRADA 350X350MM DECA,151.0
L59 CB DE EMBUTIR OVAL 400X300MM DECA,123.0
LAMINA PARA ESTILETE,8.0
LAMINA PARA ESTILETE SK5,14.0
LAPIS DE CARPINTEIRO,4.0
LAPIS DE CERA BRANCO,17.0
LAPIS DE CERA VERMELHO,17.0
LIXA D'AGUA #0030,14.0
LIXA D'AGUA #0050,14.0
LIXA D'AGUA #0100,14.0
LIXA D'AGUA #0200,14.0
LIXA D'AGUA #0400,14.0
LIXA D'AGUA #0800,14.0
LIXA D'AGUA #1500,14.0
LIXA D'AGUA #3000,14.0
LIXA D'AGUA BUFF BRANCA,21.0
LIXA D'AGUA BUFF PRETA,22.0
LIXA D'ÁGUA ESTAGIO SD N1,27.0
LIXA D'ÁGUA ESTAGIO SD N2,27.0
LIXA D'ÁGUA ESTAGIO SD N3,27.0
LIXA D'AGUA SG #0050,47.0
LIXA D'AGUA SG #0100,47.0
LIXA D'AGUA SG #0200,47.0
LIXA D'AGUA SG #0400,47.0
LIXA D'AGUA SG #0800,47.0
LIXA D'AGUA SG #1500,47.0
LIXA D'AGUA SG #3000,47.0
LIXA D'ÁGUA SM #0050,22.0
LIXA D'ÁGUA SM #0100,22.0
LIXA D'ÁGUA SM #0200,22.0
LIXA D'ÁGUA SM #0400,22.0
LIXA D'ÁGUA SM #0800,22.0
LIXA D'ÁGUA SM #1500,22.0
LIXA D'AGUA SM #3000,22.0
LIXA D'AGUA SUPERFLEX #0050,36.0
LIXA D'AGUA SUPERFLEX #0100,36.0
LIXA D'AGUA SUPERFLEX #0200,36.0
LIXA D'AGUA SUPERFLEX #0400,36.0
LIXA D'AGUA SUPERFLEX #0800,36.0
LIXA D'AGUA SUPERFLEX #1500,36.0
LIXA D'AGUA SUPERFLEX #3000,36.0
LIXA DRY FLEX #0050,26.0
LIXA DRY FLEX #0100,26.0
LIXA DRY FLEX #0200,26.0
LIXA DRY FLEX #0400,26.0
LIXA DRY FLEX #0800,26.0
LIXA DRY FLEX #1500,26.0
LIXA DRY FLEX #3000,26.0
LIXA DRY FLEX BUFF,27.0
LIXA DRY FLEX ESTÁGIO N1,29.0
LIXA DRY FLEX ESTÁGIO N2,29.0
LIXA DRY FLEX ESTÁGIO N3,29.0
LIXA DRY FLEX ESTÁGIO N4,29.0
LIXA DRY FLEX ESTÁGIO N5,29.0
LIXA ESTAGIO D.E. N1,24.0
LIXA ESTAGIO D.E. N2,24.0
LIXA ESTAGIO D.E. N3,24.0
LIXA NORTON #036,7.0
LIXA NORTON #060,7.0
LIXA NORTON #120,7.0
LIXA NORTON #180,7.0
LIXA SAIT #036,7.0
LIXA SAIT #060,8.0
LIXA SAIT #120,7.0
LIXA SAIT #180,7.0
LIXA SAIT COM VELCRO #0120,7.0
LIXA SAIT COM VELCRO #0220,7.0
LIXA SAIT COM VELCRO #0320,7.0
LIXA SAIT COM VELCRO #0400,7.0
LIXA SAIT COM VELCRO #0600,7.0
LIXA SAIT COM VELCRO #0800,7.0
LIXA SAIT COM VELCRO #1200,7.0
LIXA SDK #036,6.0
LIXA SDK #060,6.0
LIXA SDK #120,6.0
LIXA SDK #180,6.0
LIXA SDK COM VELCRO #0220,4.0
LIXA SDK COM VELCRO #0320,4.0
LIXA SDK COM VELCRO #0400,4.0
LIXA SDK COM VELCRO #0600,4.0
LIXA SDK COM VELCRO #0800,4.0
LIXA SDK COM VELCRO #1200,4.0
LIXA TAMBOR #0100,75.0
LIXA TAMBOR #0200,75.0
LIXA TAMBOR #0400,75.0
LIXA TAMBOR #0800,75.0
LIXA TAMBOR #1500,75.0
LIXA TAMBOR #3000,75.0
LIXEIRA 5L TRAMONTINA,500.0
LIXEIRA QUADRADA 5 LITROS,170.0
LIXEIRA QUADRADA 7 LITROS,170.0
LUCIDO INCOLOR BELLINZONI,120.0
LUCIDO PRETO BELLINZONI,120.0
MASCARA CONTRA PÓ COM VALVULA,3.0
MASCARA CONTRA PÓ SEM VALVULA,2.0
MASSA PLASTICA JDS BRANCA,14.0
MASSA PLASTICA JDS CHUMBAR,14.0
MASSA PLASTICA JDS CINZA,14.0
MASSA PLASTICA JDS PRETA,14.0
MASSA PLASTICA JDS TRAVERTINO,14.0
MASSA PLASTICA SHOW BRANCA,17.0
MASSA PLASTICA SHOW CHUMBAR,17.0
MASSA PLASTICA SHOW PRETA,17.0
MASSA PLASTICA SHOW TRAVERTINO,17.0
METRO AMARELO,20.0
METRO SUECO HULTAFORS,120.0
MISTURADOR ARGAMASSA 10X60CM PLUS,37.0
MISTURADOR ARGAMASSA 6X40CM PLUS,31.0
MORGANA TRAMONTINA 55X42CM C/DOSADOR E VÁLVULA,841.0
"MORGANA TRAMONTINA 69X49CM C/ CESTO, DOSADOR, TÁBUA,
LIXEIRA E VÁLVULA",1731.0
MORGANA TRAMONTINA 69X49CM C/ VÁLVULA,877.0
OCULOS DE PROTEÇÃO,6.0
OXILENE,77.0
P.U BRANCO,12.0
P.U CINZA,12.0
P.U PRETO,12.0
PALHA DE AÇO N2,2.0
PAPA MANCHAS BELLINZONI,94.0
PAPA MANCHAS SPOT BELLINZONI,142.0
PARAFUSO SEXT 1/4 X 75,1.0
PARAFUSO SEXT 1/4 X65,1.0
PARAFUSO SEXT 5/16 X 70,1.0
PASTA DE POLIR INOX TRAMONTINA,37.0
PETROLUX INCOLOR,79.0
PETROLUX PRETO,79.0
PIGMENTO TENAX AMARELA,47.0
PIGMENTO TENAX AZUL,47.0
PIGMENTO TENAX BRANCA,47.0
PIGMENTO TENAX BUFF,47.0
PIGMENTO TENAX CINZA,47.0
PIGMENTO TENAX MARROM,47.0
PIGMENTO TENAX PRETA,47.0
PIGMENTO TENAX VERDE,47.0
PIGMENTO TENAX VERMELHA,47.0
PNEU,112.0
PO XADREZ PRETO 500G,35.0
POROLUX INCOLOR BELLINZONI,87.0
POROLUX PRETO BELLINZONI,87.0
POTEA,114.0
"PRATO 4"" ESPUMA E VELCRO",19.0
"PRATO 4"" FLEXIVEL",26.0
"PRATO 4"" RIGIDO ALUMINIO",27.0
"PRATO 4"" RIGIDO FINO AZUL",28.0
"PRATO 4"" RIGIDO FINO PRETO",20.0
"PRATO 4"" RIGIDO PRETO",28.0
"PRATO 4"" SEMI FLEXIVEL",26.0
"PRATO 7"" CINZA",34.0
"PRATO 7"" CINZA COM VELCRO",47.0
"PRATO 7"" COM ESPUMA E VELCRO",31.0
"PRATO 7"" PRETO",34.0
"PRATO 7"" PRETO COM VELCRO",53.0
PROTETOR AURICULAR FONE,48.0
PROTETOR AURICULAR PLUG,2.0
PULVERIZADOR DE ÁGUA PARA SERRA MARMORE,54.0
QUARTZO SUJEIRAS DIFICEIS CORES CLARAS BELLINZONI,88.0
"REBOLO 2"" #060",28.0
"REBOLO 2"" #120",28.0
"REBOLO 3"" BRASKORT #060",27.0
"REBOLO 3"" BRASKORT #080",27.0
"REBOLO 3"" BRASKORT #120",27.0
"REBOLO 3"" SHOW #120",33.0
"REBOLO 4"" BRASKORT #036",28.0
"REBOLO 4"" BRASKORT #060",28.0
"REBOLO 4"" BRASKORT #080",28.0
"REBOLO 4"" BRASKORT #120",28.0
"REBOLO 4"" REI #060",37.0
"REBOLO 4"" REI #080",37.0
"REBOLO 4"" REI #120",37.0
"REBOLO 4"" SHOW #036",39.0
"REBOLO 4"" SHOW #060",39.0
"REBOLO 4"" SHOW #080",39.0
"REBOLO 4"" SHOW #120",39.0
"REBOLO 5"" #036",45.0
"REBOLO 5"" #060",45.0
"REBOLO 5"" #080",45.0
"REBOLO 5"" #120",45.0
REBOLO CHICOTE,271.0
REBOLO PARA DESBASTE CONICO 38MM,74.0
REBOLO PARA DESBASTE CONICO 50MM,116.0
REBOLO RETO BRASKORT #036,30.0
REBOLO RETO BRASKORT #060,30.0
REBOLO RETO BRASKORT #120,30.0
REFIL PARA BARRIL #0100,20.0
REFIL PARA BARRIL #0200,20.0
REFIL PARA BARRIL #0400,20.0
REFIL PARA BARRIL #0800,20.0
REFIL PARA BARRIL #1500,20.0
REFIL PARA BARRIL #3000,20.0
"REFIL VELCRO 4""",7.0
"REFIL VELCRO 7""",11.0
REJUNTE BRANCO,7.0
SAL AZEDO,49.0
SERRA 250MM CONTINUA VERDE,466.0
SERRA 250MM SEGMENTADA VERDE,474.0
SERRA 260 MM CONTINUA MARMOGLASS AZUL,341.0
SERRA 300MM CONTINUA VERDE,562.0
SERRA 350MM CONT. MARMOGLASS AZUL,385.0
SERRA 350MM CONT. NANOGLASS VERMELHA,480.0
SERRA 350MM CONT. QUARTZITO,600.0
SERRA 350MM CONT. SILENCIOSA VERDE,622.0
SERRA 350MM DEKTON COM FLANGE VERDE,620.0
SERRA 350MM SEGMENTADA FLASH,320.0
SERRA 350MM SEGMENTADA SILENCIOSA LSS5,360.0
SERRA 350MM SEGMENTADA SILENCIOSA PREMIUM,400.0
SERRA 350MM SEGMENTADA SILENCIOSA VERDE,648.0
SERRA MARMORE ELETRICA MAXTOOL,520.0
SIFÃO,7.0
SIFAO PRETO,11.0
SILICONE ACETICO INCOLOR,15.0
SILICONE NEUTRO BRANCO,20.0
SILICONE NEUTRO CINZA,20.0
SOQUETE MAGNETICO 65 X 13,9.0
SOQUETE MAGNETICO 65 X 7/16,8.0
SUPER COLOR QUARTZO BELLINZONI,331.0
SUPERBORDAS INCOLOR BELLINZONI,129.0
SUPERBORDAS PRETO BELLINZONI,139.0
TAF GEL BELLINZONI,71.0
TALHADEIRA SDS MTX,20.0
TALHADEIRA SDS MTX LARGA,24.0
TANQUE BR CUBAS 40X34 AÇO 201 ESC,200.0
TANQUE BR CUBAS 40X34 AÇO 304 AB,260.0
TANQUE BR CUBAS 40X34 AÇO 304 ESC,299.0
TANQUE BR CUBAS 40X40 AÇO 304 ESC,260.0
TANQUE BR CUBAS 50X40 AÇO 304 AB,356.0
TANQUE BR CUBAS 50X40 AÇO 304 ESC,279.0
TANQUE IMPORTADO 50X40 AÇO 304 AB,308.0
TANQUE IMPORTADO 50X40 AÇO 304 ESC,308.0
TANQUE NEW STEEL 40X34 AÇO 304 AB,222.0
TANQUE NEW STEEL 40X34 AÇO 304 ES,222.0
TANQUE NEW STEEL 40X40 AÇO 304 AB,241.0
TANQUE NEW STEEL 40X40 AÇO 304 ES,241.0
TANQUE TECNOCUBA 34X40 AÇO 304 AB,339.0
TANQUE TECNOCUBA 40X34 AÇO 304 AB,241.0
TANQUE TECNOCUBA 40X40 AÇO 304 AB,289.0
TANQUE TRAMONTINA 40X35 AÇO 304 AC,395.0
TANQUE TRAMONTINA 40X40 AÇO 304 AB,712.0
TANQUE TRAMONTINA 40X40 AÇO 304 AC,519.0
TANQUE TRAMONTINA 50X40 AÇO 304 AB,729.0
TANQUE TRAMONTINA 50X40 AÇO 304 ESC,464.0
TITANIUM KNIFE GRADE EXTRA CLEAR,290.0
TORNEIRA COZINHA,224.0
TORNEIRA LAVATÓRIO CASCATA CROMADA,134.0
TORNEIRA LAVATÓRIO CASCATA CROMADA BICA ALTA,201.0
TORNEIRA LAVATÓRIO CASCATA PRETA,134.0
TORNEIRA LAVATÓRIO MONOBLOCO CROMADA,134.0
TOTAL BLACK BELLINZONI,206.0
TRENA 5 METROS,16.0
VALVULA 3.1/2 PINO METAL,20.0
VALVULA 3.1/2 PINO PRETO,11.0
VALVULA 3.1/2 TRAMONTINA,42.0
VALVULA 4.1/2 TRAMONTINA,74.0
VALVULA BR 4.1/2,16.0
VALVULA BR 4.1/2 COM CESTO,31.0
VALVULA LAVATORIO CLICK,41.0
VALVULA LAVATORIO CLICK 1.1/4,39.0
VALVULA LAVATORIO CLICK PRETA,41.0
VALVULA LAVATORIO FERRO,16.0
VALVULA LAVATORIO PVC BRANCA,3.0
VALVULA LAVATORIO PVC CROMADA,10.0
